gate_id,status,value,threshold,unit,reason
equivalence,PASS,1,1,bool,three_regressions_pass
activity_coverage,PASS,100,90,percent,all_categories_at_or_above_threshold
icg_inserted,PASS,272,1,cells,integrated_clock_gates_present
gated_bits,PASS,34816,8192,bits,minimum_gated_state
gated_pct_postmap,PASS,68.28273319212363693418059151,20,percent,postmap_register_bit_denominator
ring_coverage,PASS,100,50,percent,ring_data_bank_coverage
burst_dynamic_saving,PASS,61.66664337911665665302016236,5,percent,primary_workload_dynamic_saving
burst_sequential_saving,PASS,61.4079288625416821044831419,10,percent,primary_workload_sequential_saving
burst_internal_saving,PASS,63.09793024147182828669988501,10,percent,primary_workload_internal_saving
burst_energy_saving,PASS,58.45580589254766031195840555,5,percent,primary_workload_energy_saving
active_dynamic_regression,PASS,-59.51686047866514413553634266,1.5,percent,maximum_allowed_regression
area_overhead,PASS,-15.57518390515086101419547671,3,percent,maximum_allowed_overhead
g0_setup_wns,PASS,0.093015,0,ns,setup_closed
g1_setup_wns,PASS,0.0151572,0,ns,setup_closed
setup_tns,PASS,0,0,ns,zero_tns
electrical,PASS,0,0,violations,zero_electrical_violations
gating_setup_wns,PASS,1.4645,0,ns,clock_gating_setup_closed
gating_hold_wns,PASS,0.18546,0,ns,clock_gating_hold_closed
