point_id,hierarchy,internal_mw,switching_mw,leakage_mw,total_mw,status
G0_IDLE,__ROOT__,66.968,0.0000011048,8.5398,75.507,PASS
G0_IDLE,engine0,31.7,0,4.07,35.7,PASS
G0_IDLE,engine1,31.7,0,4.07,35.7,PASS
G0_IDLE,ring,38.56,0,4.963,43.56,PASS
G0_IDLE,bitpacker,15.54,0,1.937,17.48,PASS
G0_IDLE,prefix_k,6.5,0,0.99,7.48,PASS
G0_IDLE,output_fifo,2.47,0,0.302,2.77,PASS
G0_BURST_IDLE,__ROOT__,104.36,2.9943,8.0399,115.4,PASS
G0_BURST_IDLE,engine0,52.5,0.315707,3.67,56.5,PASS
G0_BURST_IDLE,engine1,47.6,2.52,3.98,54.1,PASS
G0_BURST_IDLE,ring,68.76,1.164464,4.489,74.42,PASS
G0_BURST_IDLE,bitpacker,16.54,1.109831,1.926,19.58,PASS
G0_BURST_IDLE,prefix_k,12.05,0.228776,0.985,13.25,PASS
G0_BURST_IDLE,output_fifo,3.01,0.071192,0.296,3.38,PASS
G0_ACTIVE_LEGAL,__ROOT__,103.08,4.1999,8.0372,115.3,PASS
G0_ACTIVE_LEGAL,engine0,52.5,0.442234,3.67,56.6,PASS
G0_ACTIVE_LEGAL,engine1,46.3,3.53,3.98,53.8,PASS
G0_ACTIVE_LEGAL,ring,67.25,1.634069,4.493,73.36,PASS
G0_ACTIVE_LEGAL,bitpacker,16.67,1.550046,1.923,20.11,PASS
G0_ACTIVE_LEGAL,prefix_k,12.1,0.320907,0.986,13.41,PASS
G0_ACTIVE_LEGAL,output_fifo,3.03,0.099993,0.294,3.43,PASS
G1_IDLE,__ROOT__,27.723,0.0000011048,7.103,34.826,PASS
G1_IDLE,engine0,13.2,0,3.39,16.6,PASS
G1_IDLE,engine1,13.2,0,3.39,16.6,PASS
G1_IDLE,ring,1.631192,0,3.6,5.231662,PASS
G1_IDLE,bitpacker,15.54,0,1.938,17.48,PASS
G1_IDLE,prefix_k,6.5,0,0.991,7.48,PASS
G1_IDLE,output_fifo,0.160863,0,0.228,0.388766,PASS
G1_BURST_IDLE,__ROOT__,38.511,2.6409,6.7913,47.942,PASS
G1_BURST_IDLE,engine0,17,0.272883,3.13,20.4,PASS
G1_BURST_IDLE,engine1,19.9,2.25,3.35,25.5,PASS
G1_BURST_IDLE,ring,5.486106,0.837531,3.316,9.63531,PASS
G1_BURST_IDLE,bitpacker,16.54,1.11161,1.927,19.59,PASS
G1_BURST_IDLE,prefix_k,12.05,0.22884,0.986,13.25,PASS
G1_BURST_IDLE,output_fifo,0.420526,0.048339,0.22,0.688367,PASS
G1_ACTIVE_LEGAL,__ROOT__,39.724,3.7051,6.7841,50.209,PASS
G1_ACTIVE_LEGAL,engine0,17,0.38334,3.12,20.5,PASS
G1_ACTIVE_LEGAL,engine1,21,3.15,3.34,27.5,PASS
G1_ACTIVE_LEGAL,ring,6.414339,1.17499,3.314,10.917184,PASS
G1_ACTIVE_LEGAL,bitpacker,16.67,1.552548,1.923,20.12,PASS
G1_ACTIVE_LEGAL,prefix_k,12.1,0.320986,0.986,13.41,PASS
G1_ACTIVE_LEGAL,output_fifo,0.495884,0.067861,0.216,0.779874,PASS
