comparison_id,experiment,comparison_group,workload_id,baseline_point,candidate_point,metric,baseline,candidate,delta,delta_percent,formula,status
architecture-315mhz:active:area_combinational_um2,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,area_combinational_um2,620022.075238,187611.665954,-432410.409284,-69.741131252143902718285879019788062857746542395053148567294721951607700702458646,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:area_sequential_um2,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,area_sequential_um2,909473.120182,232596.776486,-676876.343696,-74.425107095033914260933657505468742533044504777651812436707717251191761951450637,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:area_total_um2,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,area_total_um2,1529495.19542,420208.44244,-1109286.75298,-72.526331321713593774892696288951118645809495445168764922487460794249351313859651,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:buffer_cell_count,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,buffer_cell_count,14112,3446,-10666,-75.581065759637188208616780045351473922902494331065759637188208616780045351473923,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:cell_count,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,cell_count,786342,220298,-566044,-71.98445460117862202451350684562187953841966981288040063992512163918498566781375,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:clock_mw,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,clock_mw,0,0,0,0,candidate-baseline; equal_zero_baseline=>0_percent,PASS
architecture-315mhz:active:combinational_power_mw,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,combinational_power_mw,12.346,5.5628,-6.7832,-54.942491495221124250769479993520168475619633889518872509314757816296776283816621,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:dynamic_energy_per_block_nj,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,dynamic_energy_per_block_nj,444.62248412698412698412698412698412698412698412698412698412698412698412698412698,110.77869294642857142857142857142857142857142857142857142857142857142857142857143,-333.84379118055555555555555555555555555555555555555555555555555555555555555555555,-75.084774859296096619009745613868644369658133198177951321749985403168762770442333,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:dynamic_energy_per_compressed_byte_nj,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,dynamic_energy_per_compressed_byte_nj,0.60451731356490024063103600833036591024354450595103212370377564123315312982206252,0.15061684968922987277847916868990968243177624550840050500145673497135087889676605,-0.45390046387567036785255683964045622781176826044263161870231890626180225092529647,-75.084774859296096619009745613868644369658133198177951321749985403168762770442333,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:dynamic_energy_per_raw_byte_nj,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,dynamic_energy_per_raw_byte_nj,0.10855041116381448412698412698412698412698412698412698412698412698412698412698413,0.027045579332624162946428571428571428571428571428571428571428571428571428571428571,-0.081504831831190321180555555555555555555555555555555555555555555555555555555555559,-75.084774859296096619009745613868644369658133198177951321749985403168762770442334,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
architecture-315mhz:active:dynamic_mw,architecture,architecture-315mhz,active,arch315-a0-active,arch315-a1-active,dynamic_mw,435.6544,108.9786,-326.6758,-74.985079916557711800913751817954782506500565585932335355731515623393221783138194,candidate-baseline; 100*(candidate-baseline)/baseline,PASS
