gate_id,experiment,comparison_group,status,value,threshold,unit,reason
architecture-315mhz:architecture_active_dynamic_regression,architecture,architecture-315mhz,PASS,-74.979237123457300822998718836296463686277604905013620375529888290367517341500334,3,percent,threshold_met
architecture-315mhz:architecture_primary_saving,architecture,architecture-315mhz,PASS,74.81938027562333679234620157,10,percent,dynamic_or_energy_per_block_threshold
architecture-315mhz:clock_activity_coverage,architecture,architecture-315mhz,PASS,100,100,percent,threshold_met
architecture-315mhz:electrical_violations,architecture,architecture-315mhz,PASS,0,0,count,threshold_met
architecture-315mhz:functional_input_activity_coverage,architecture,architecture-315mhz,PASS,100,100,percent,threshold_met
architecture-315mhz:internal_leaf_activity_coverage,architecture,architecture-315mhz,PASS,98.806828590488502072150231755918330666095197934417050046143795819752309782139067,90,percent,threshold_met
architecture-315mhz:overall_nondefault_activity_coverage,architecture,architecture-315mhz,PASS,98.856089080033722104319914114691950308596214596389916701207653922034408234427065,90,percent,threshold_met
architecture-315mhz:required_verification,architecture,architecture-315mhz,PASS,1,1,boolean,threshold_met
architecture-315mhz:sequential_activity_coverage,architecture,architecture-315mhz,PASS,99.616734723117701841106096425245361415574181531628340138978436850777276309191203,95,percent,threshold_met
architecture-315mhz:setup_tns,architecture,architecture-315mhz,PASS,0,0,ns,threshold_met
architecture-315mhz:setup_wns,architecture,architecture-315mhz,PASS,0.00793719,0,ns,threshold_met
