point_id,hierarchy_id,status,internal_mw,switching_mw,leakage_mw,total_mw,report_quantization_mw
arch315-a0-active,__ROOT__,PASS,435,0.977006,26.3,462,2.100001
arch315-a0-active,g_engine[0].u_engine,PASS,50.9,0.2655,3.63,54.8,0.210001
arch315-a0-active,g_engine[0].u_engine/u_bpack,PASS,7.98,0.054507,0.96,8.99,0.021001
arch315-a0-active,g_engine[0].u_engine/u_bpack/g_bounded_accumulator.u_axis_width_packer,PASS,1.35,0.023474,0.156,1.53,0.021001
arch315-a0-active,g_engine[0].u_engine/u_prefix_k,PASS,4.43,0.151222,0.464,5.04,0.021001
arch315-a0-active,g_engine[0].u_engine/u_way_ring/g_way[0].u_way,PASS,9.26,0.002927,0.522,9.79,0.021001
arch315-a0-active,g_engine[0].u_engine/u_way_ring/g_way[1].u_way,PASS,9.26,0.002901,0.523,9.79,0.021001
arch315-a0-active,g_engine[0].u_engine/u_way_ring/g_way[2].u_way,PASS,9.26,0.00295,0.524,9.79,0.021001
arch315-a0-active,g_engine[0].u_engine/u_way_ring/g_way[3].u_way,PASS,9.26,0.003567,0.522,9.79,0.021001
arch315-a0-active,g_engine[0].u_feeder,PASS,19.3,0.076709,1.09,20.4,0.210001
arch315-a0-active,g_engine[0].u_feeder/u_fifo_mem,PASS,18.2,0.031529,1.02,19.3,0.210001
arch315-a0-active,g_engine[0].u_pktbuf,PASS,148,0.035156,8.36,156,2.010001
arch315-a0-active,g_engine[0].u_pktbuf/u_payload_ram/g_asic_slots.g_slot[0].u_slot_mem,PASS,72.1,0.013344,4.05,76.2,0.210001
arch315-a0-active,g_engine[0].u_pktbuf/u_payload_ram/g_asic_slots.g_slot[1].u_slot_mem,PASS,72.1,0.016883,4.06,76.2,0.210001
arch315-a0-active,g_engine[1].u_engine,PASS,50.6,0.363434,3.63,54.6,0.210001
arch315-a0-active,g_engine[1].u_engine/u_bpack,PASS,7.99,0.057415,0.96,9.01,0.021001
arch315-a0-active,g_engine[1].u_engine/u_bpack/g_bounded_accumulator.u_axis_width_packer,PASS,1.38,0.029032,0.157,1.56,0.021001
arch315-a0-active,g_engine[1].u_engine/u_prefix_k,PASS,4.29,0.196649,0.466,4.95,0.021001
arch315-a0-active,g_engine[1].u_engine/u_way_ring/g_way[0].u_way,PASS,9.21,0.011769,0.522,9.74,0.021001
arch315-a0-active,g_engine[1].u_engine/u_way_ring/g_way[1].u_way,PASS,9.25,0.012277,0.521,9.79,0.021001
arch315-a0-active,g_engine[1].u_engine/u_way_ring/g_way[2].u_way,PASS,9.2,0.014643,0.524,9.74,0.021001
arch315-a0-active,g_engine[1].u_engine/u_way_ring/g_way[3].u_way,PASS,9.26,0.014644,0.523,9.79,0.021001
arch315-a0-active,g_engine[1].u_feeder,PASS,17.6,0.119867,1.11,18.8,0.210001
arch315-a0-active,g_engine[1].u_feeder/u_fifo_mem,PASS,16.7,0.062771,1.04,17.8,0.210001
arch315-a0-active,g_engine[1].u_pktbuf,PASS,148,0.116125,8.36,156,2.010001
arch315-a0-active,g_engine[1].u_pktbuf/u_payload_ram/g_asic_slots.g_slot[0].u_slot_mem,PASS,72.1,0.050906,4.06,76.2,0.210001
arch315-a0-active,g_engine[1].u_pktbuf/u_payload_ram/g_asic_slots.g_slot[1].u_slot_mem,PASS,72.1,0.055055,4.05,76.2,0.210001
arch315-a0-bursty,__ROOT__,PASS,436,0.564522,26.3,463,2.100001
arch315-a0-bursty,g_engine[0].u_engine,PASS,50.8,0.155352,3.63,54.6,0.210001
arch315-a0-bursty,g_engine[0].u_engine/u_bpack,PASS,7.91,0.036403,0.96,8.91,0.021001
arch315-a0-bursty,g_engine[0].u_engine/u_bpack/g_bounded_accumulator.u_axis_width_packer,PASS,1.33,0.010554,0.156,1.5,0.021001
arch315-a0-bursty,g_engine[0].u_engine/u_prefix_k,PASS,4.35,0.080797,0.465,4.9,0.021001
arch315-a0-bursty,g_engine[0].u_engine/u_way_ring/g_way[0].u_way,PASS,9.26,0.001469,0.522,9.78,0.021001
arch315-a0-bursty,g_engine[0].u_engine/u_way_ring/g_way[1].u_way,PASS,9.26,0.00149,0.523,9.78,0.021001
arch315-a0-bursty,g_engine[0].u_engine/u_way_ring/g_way[2].u_way,PASS,9.26,0.001353,0.524,9.78,0.021001
arch315-a0-bursty,g_engine[0].u_engine/u_way_ring/g_way[3].u_way,PASS,9.26,0.00158,0.522,9.78,0.021001
arch315-a0-bursty,g_engine[0].u_feeder,PASS,19.3,0.04983,1.09,20.4,0.210001
arch315-a0-bursty,g_engine[0].u_feeder/u_fifo_mem,PASS,18.2,0.020166,1.02,19.3,0.210001
arch315-a0-bursty,g_engine[0].u_pktbuf,PASS,148,0.027531,8.35,156,2.010001
arch315-a0-bursty,g_engine[0].u_pktbuf/u_payload_ram/g_asic_slots.g_slot[0].u_slot_mem,PASS,72.1,0.010562,4.05,76.2,0.210001
arch315-a0-bursty,g_engine[0].u_pktbuf/u_payload_ram/g_asic_slots.g_slot[1].u_slot_mem,PASS,72.1,0.012883,4.06,76.2,0.210001
arch315-a0-bursty,g_engine[1].u_engine,PASS,50.8,0.189559,3.63,54.6,0.210001
