report_id,point_id,report_kind,report_sha256
arch315-a0-active:activity,arch315-a0-active,activity,385011cc08a7a0de0a3fb20ab52bf550dca34ba45b449acb38a309cb7210165c
arch315-a0-active:area,arch315-a0-active,area,581d5a9b7bc451708a9b764a2efb362855d4222d31f13031d40fb39dc4a7a070
arch315-a0-active:functional,arch315-a0-active,functional,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a
arch315-a0-active:hierarchy_power,arch315-a0-active,hierarchy_power,90dbf4e7e0723433142cc5afdbe3aaddd0bedb9d1603abb4971a8320e3c8a66e
arch315-a0-active:power,arch315-a0-active,power,b7318930ab9defaf570af4e2be3d40e61c0a9a89d8ad01c30228154ec55ab722
arch315-a0-active:timing_setup,arch315-a0-active,timing_setup,ccb537f37d01f244fcf5841ec30d9ee20cf3cac2d4db5e7ae43f2a3d908ae9fd
arch315-a0-bursty:activity,arch315-a0-bursty,activity,954a274b5ade87914fa18cd7155149df6beff9c051b0db691a0cac6ca35674b0
arch315-a0-bursty:area,arch315-a0-bursty,area,581d5a9b7bc451708a9b764a2efb362855d4222d31f13031d40fb39dc4a7a070
arch315-a0-bursty:functional,arch315-a0-bursty,functional,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3
arch315-a0-bursty:hierarchy_power,arch315-a0-bursty,hierarchy_power,c50afc240713ffd9ecf3d74a3a54f9050bf61260649cf15ed36a8cf0362d9fdc
arch315-a0-bursty:power,arch315-a0-bursty,power,782a1ecf9377837be3b73c1c9d6bfe5deaedcaaf2b880b4f3cd7641c926ede65
arch315-a0-bursty:timing_setup,arch315-a0-bursty,timing_setup,ccb537f37d01f244fcf5841ec30d9ee20cf3cac2d4db5e7ae43f2a3d908ae9fd
arch315-a1-active:activity,arch315-a1-active,activity,fec6aa059387161b85db9850de481d0c1b744ccd55734283974fd39f98cdb9eb
arch315-a1-active:area,arch315-a1-active,area,4212a01f875bd509d3b74a873f41e401c783bb553701d76530b1f8678e49f99a
arch315-a1-active:functional,arch315-a1-active,functional,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a
arch315-a1-active:hierarchy_power,arch315-a1-active,hierarchy_power,74642ccef046f98fb67eafb4724ace2d867d06d6d0629232174c00e29584044f
arch315-a1-active:power,arch315-a1-active,power,9d02aadc590a958867e4c973770cd9f25c551e36933baf5d97b59595216ef2c5
arch315-a1-active:timing_setup,arch315-a1-active,timing_setup,f3c7273548cb85ae849636011be6f35d74dcf0c9ca7338ccad070a7c0f89d3b3
arch315-a1-bursty:activity,arch315-a1-bursty,activity,206ac11b02af1e8ed6a7364e6d5b2c13177340703eefdc1b9c9834de348b2db1
arch315-a1-bursty:area,arch315-a1-bursty,area,4212a01f875bd509d3b74a873f41e401c783bb553701d76530b1f8678e49f99a
arch315-a1-bursty:functional,arch315-a1-bursty,functional,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3
arch315-a1-bursty:hierarchy_power,arch315-a1-bursty,hierarchy_power,3f43f404963ff1c623a4a459c7c6e7df3b4d8781064d99336360ca7f7647dea9
arch315-a1-bursty:power,arch315-a1-bursty,power,dc17fa601798353893460a2d3e983f005921674c2794421707acd2b058473d53
arch315-a1-bursty:timing_setup,arch315-a1-bursty,timing_setup,f3c7273548cb85ae849636011be6f35d74dcf0c9ca7338ccad070a7c0f89d3b3
