verification_id,point_id,kind,method,required,trace_sha256,result_sha256,status
arch315-a0-active:activity_coverage,arch315-a0-active,activity_coverage,dc_report_activity_coverage,YES,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a,5d0329857fd10806924a519bb373f79a7cb4a26cc426931f098f88bb24a47aa8,PASS
arch315-a0-active:electrical,arch315-a0-active,electrical,dc_report_constraint,YES,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a,3b6fdad80ff8d4021b802febae9c96afbbb72b5dcc034cfe96714f040ae60229,PASS
arch315-a0-active:functional,arch315-a0-active,functional,normalized_packet_regression,YES,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a,f822e5785a0df7da9578c64e5d9e2249dd4bc14e2f549b4ed02e672a832289c4,PASS
arch315-a0-active:timing,arch315-a0-active,timing,dc_report_timing,YES,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a,ccb537f37d01f244fcf5841ec30d9ee20cf3cac2d4db5e7ae43f2a3d908ae9fd,PASS
arch315-a0-bursty:activity_coverage,arch315-a0-bursty,activity_coverage,dc_report_activity_coverage,YES,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3,7c8aad02934e8cb21b190948bd2faf642c3fbe663e1198bef57835451852dbf5,PASS
arch315-a0-bursty:electrical,arch315-a0-bursty,electrical,dc_report_constraint,YES,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3,3b6fdad80ff8d4021b802febae9c96afbbb72b5dcc034cfe96714f040ae60229,PASS
arch315-a0-bursty:functional,arch315-a0-bursty,functional,normalized_packet_regression,YES,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3,e6ae99fd036f5081087bf124264aeab7a75b1f20abe16624e6e9abfe0814876f,PASS
arch315-a0-bursty:timing,arch315-a0-bursty,timing,dc_report_timing,YES,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3,ccb537f37d01f244fcf5841ec30d9ee20cf3cac2d4db5e7ae43f2a3d908ae9fd,PASS
arch315-a1-active:activity_coverage,arch315-a1-active,activity_coverage,dc_report_activity_coverage,YES,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a,e81cf65bd4f0becaadda53581bd99dff624a3f030162a17bbacd89c1f10c8f50,PASS
arch315-a1-active:electrical,arch315-a1-active,electrical,dc_report_constraint,YES,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a,d9d91ce127e7a40eba8da05660938b8b3365ced53baf8a7de9cfac38ce09fa11,PASS
arch315-a1-active:functional,arch315-a1-active,functional,normalized_packet_regression,YES,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a,aa3877d7461237c206af42f9c20fbbe51ff297d20ef3f492b06b872aaaed1808,PASS
arch315-a1-active:timing,arch315-a1-active,timing,dc_report_timing,YES,d668a9528a1aea5b805422fc06431e01b865eb315b2b6529fe30c7331098373a,f3c7273548cb85ae849636011be6f35d74dcf0c9ca7338ccad070a7c0f89d3b3,PASS
arch315-a1-bursty:activity_coverage,arch315-a1-bursty,activity_coverage,dc_report_activity_coverage,YES,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3,27816590fef0cd0403ff0a9a324ffff6277023466ccf916e27bdc09f9949bee7,PASS
arch315-a1-bursty:electrical,arch315-a1-bursty,electrical,dc_report_constraint,YES,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3,d9d91ce127e7a40eba8da05660938b8b3365ced53baf8a7de9cfac38ce09fa11,PASS
arch315-a1-bursty:functional,arch315-a1-bursty,functional,normalized_packet_regression,YES,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3,07016ac0939095eb27181e4a5cc435f74cb21dcb2d43697e908ada6c3221c42b,PASS
arch315-a1-bursty:timing,arch315-a1-bursty,timing,dc_report_timing,YES,25122d0ce2c106386959573ff25a63844e156f074778e32c2b528b274a69e3d3,f3c7273548cb85ae849636011be6f35d74dcf0c9ca7338ccad070a7c0f89d3b3,PASS
