sample_idx,i,q
0,-63,-127
1,-60,-122
2,-57,-117
3,-54,-112
4,-51,-107
5,-48,-102
6,-45,-97
7,-42,-92
8,-39,-87
9,-36,-82
10,-33,-77
11,-30,-72
12,-27,-67
13,-24,-62
14,-21,-57
15,-18,-52
16,-15,-47
17,-12,-42
18,-9,-37
19,-6,-32
20,-3,-27
21,0,-22
22,3,-17
23,6,-12
24,9,-7
25,12,-2
26,15,3
27,18,8
28,21,13
29,24,18
30,27,23
31,30,28
32,33,33
33,36,38
34,39,43
35,42,48
36,45,53
37,48,58
38,51,63
39,54,68
40,57,73
41,60,78
42,63,83
43,-61,88
44,-58,93
45,-55,98
46,-52,103
47,-49,108
48,-46,113
49,-43,118
50,-40,123
51,-37,-127
52,-34,-122
53,-31,-117
54,-28,-112
55,-25,-107
56,-22,-102
57,-19,-97
58,-16,-92
59,-13,-87
60,-10,-82
61,-7,-77
62,-4,-72
63,-1,-67
64,2,-62
65,5,-57
66,8,-52
67,11,-47
68,14,-42
69,17,-37
70,20,-32
71,23,-27
72,26,-22
73,29,-17
74,32,-12
75,35,-7
76,38,-2
77,41,3
78,44,8
79,47,13
80,50,18
81,53,23
82,56,28
83,59,33
84,62,38
85,-62,43
86,-59,48
87,-56,53
88,-53,58
89,-50,63
90,-47,68
91,-44,73
92,-41,78
93,-38,83
94,-35,88
95,-32,93
96,-29,98
97,-26,103
98,-23,108
99,-20,113
100,-17,118
101,-14,123
102,-11,-127
103,-8,-122
104,-5,-117
105,-2,-112
106,1,-107
107,4,-102
108,7,-97
109,10,-92
110,13,-87
111,16,-82
112,19,-77
113,22,-72
114,25,-67
115,28,-62
116,31,-57
117,34,-52
118,37,-47
119,40,-42
120,43,-37
121,46,-32
122,49,-27
123,52,-22
124,55,-17
125,58,-12
126,61,-7
127,-63,-2
128,-60,3
129,-57,8
130,-54,13
131,-51,18
132,-48,23
133,-45,28
134,-42,33
135,-39,38
136,-36,43
137,-33,48
138,-30,53
139,-27,58
140,-24,63
141,-21,68
142,-18,73
143,-15,78
144,-12,83
145,-9,88
146,-6,93
147,-3,98
148,0,103
149,3,108
150,6,113
151,9,118
152,12,123
153,15,-127
154,18,-122
155,21,-117
156,24,-112
157,27,-107
158,30,-102
159,33,-97
160,36,-92
161,39,-87
162,42,-82
163,45,-77
164,48,-72
165,51,-67
166,54,-62
167,57,-57
168,60,-52
169,63,-47
170,-61,-42
171,-58,-37
172,-55,-32
173,-52,-27
174,-49,-22
175,-46,-17
176,-43,-12
177,-40,-7
178,-37,-2
179,-34,3
180,-31,8
181,-28,13
182,-25,18
183,-22,23
184,-19,28
185,-16,33
186,-13,38
187,-10,43
188,-7,48
189,-4,53
190,-1,58
191,2,63
192,5,68
193,8,73
194,11,78
195,14,83
196,17,88
197,20,93
198,23,98
199,26,103
200,29,108
201,32,113
202,35,118
203,38,123
204,41,-127
205,44,-122
206,47,-117
207,50,-112
208,53,-107
209,56,-102
210,59,-97
211,62,-92
212,-62,-87
213,-59,-82
214,-56,-77
215,-53,-72
216,-50,-67
217,-47,-62
218,-44,-57
219,-41,-52
220,-38,-47
221,-35,-42
222,-32,-37
223,-29,-32
224,-26,-27
225,-23,-22
226,-20,-17
227,-17,-12
228,-14,-7
229,-11,-2
230,-8,3
231,-5,8
232,-2,13
233,1,18
234,4,23
235,7,28
236,10,33
237,13,38
238,16,43
239,19,48
240,22,53
241,25,58
242,28,63
243,31,68
244,34,73
245,37,78
246,40,83
247,43,88
248,46,93
249,49,98
250,52,103
251,55,108
252,58,113
253,61,118
254,-63,123
255,-60,-127
256,-57,-122
257,-54,-117
258,-51,-112
259,-48,-107
260,-45,-102
261,-42,-97
262,-39,-92
263,-36,-87
264,-33,-82
265,-30,-77
266,-27,-72
267,-24,-67
268,-21,-62
269,-18,-57
270,-15,-52
271,-12,-47
272,-9,-42
273,-6,-37
274,-3,-32
275,0,-27
276,3,-22
277,6,-17
278,9,-12
279,12,-7
280,15,-2
281,18,3
282,21,8
283,24,13
284,27,18
285,30,23
286,33,28
287,36,33
288,39,38
289,42,43
290,45,48
291,48,53
292,51,58
293,54,63
294,57,68
295,60,73
296,63,78
297,-61,83
298,-58,88
299,-55,93
300,-52,98
301,-49,103
302,-46,108
303,-43,113
304,-40,118
305,-37,123
306,-34,-127
307,-31,-122
308,-28,-117
309,-25,-112
310,-22,-107
311,-19,-102
312,-16,-97
313,-13,-92
314,-10,-87
315,-7,-82
316,-4,-77
317,-1,-72
318,2,-67
319,5,-62
320,8,-57
321,11,-52
322,14,-47
323,17,-42
324,20,-37
325,23,-32
326,26,-27
327,29,-22
328,32,-17
329,35,-12
330,38,-7
331,41,-2
332,44,3
333,47,8
334,50,13
335,53,18
336,56,23
337,59,28
338,62,33
339,-62,38
340,-59,43
341,-56,48
342,-53,53
343,-50,58
344,-47,63
345,-44,68
346,-41,73
347,-38,78
348,-35,83
349,-32,88
350,-29,93
351,-26,98
352,-23,103
353,-20,108
354,-17,113
355,-14,118
356,-11,123
357,-8,-127
358,-5,-122
359,-2,-117
360,1,-112
361,4,-107
362,7,-102
363,10,-97
364,13,-92
365,16,-87
366,19,-82
367,22,-77
368,25,-72
369,28,-67
370,31,-62
371,34,-57
372,37,-52
373,40,-47
374,43,-42
375,46,-37
376,49,-32
377,52,-27
378,55,-22
379,58,-17
380,61,-12
381,-63,-7
382,-60,-2
383,-57,3
384,-54,8
385,-51,13
386,-48,18
387,-45,23
388,-42,28
389,-39,33
390,-36,38
391,-33,43
392,-30,48
393,-27,53
394,-24,58
395,-21,63
396,-18,68
397,-15,73
398,-12,78
399,-9,83
400,-6,88
401,-3,93
402,0,98
403,3,103
404,6,108
405,9,113
406,12,118
407,15,123
408,18,-127
409,21,-122
410,24,-117
411,27,-112
412,30,-107
413,33,-102
414,36,-97
415,39,-92
416,42,-87
417,45,-82
418,48,-77
419,51,-72
420,54,-67
421,57,-62
422,60,-57
423,63,-52
424,-61,-47
425,-58,-42
426,-55,-37
427,-52,-32
428,-49,-27
429,-46,-22
430,-43,-17
431,-40,-12
432,-37,-7
433,-34,-2
434,-31,3
435,-28,8
436,-25,13
437,-22,18
438,-19,23
439,-16,28
440,-13,33
441,-10,38
442,-7,43
443,-4,48
444,-1,53
445,2,58
446,5,63
447,8,68
448,11,73
449,14,78
450,17,83
451,20,88
452,23,93
453,26,98
454,29,103
455,32,108
456,35,113
457,38,118
458,41,123
459,44,-127
460,47,-122
461,50,-117
462,53,-112
463,56,-107
464,59,-102
465,62,-97
466,-62,-92
467,-59,-87
468,-56,-82
469,-53,-77
470,-50,-72
471,-47,-67
472,-44,-62
473,-41,-57
474,-38,-52
475,-35,-47
476,-32,-42
477,-29,-37
478,-26,-32
479,-23,-27
480,-20,-22
481,-17,-17
482,-14,-12
483,-11,-7
484,-8,-2
485,-5,3
486,-2,8
487,1,13
488,4,18
489,7,23
490,10,28
491,13,33
492,16,38
493,19,43
494,22,48
495,25,53
496,28,58
497,31,63
498,34,68
499,37,73
500,40,78
501,43,83
502,46,88
503,49,93
504,52,98
505,55,103
506,58,108
507,61,113
508,-63,118
509,-60,123
510,-57,-127
511,-54,-122
512,-51,-117
513,-48,-112
514,-45,-107
515,-42,-102
516,-39,-97
517,-36,-92
518,-33,-87
519,-30,-82
520,-27,-77
521,-24,-72
522,-21,-67
523,-18,-62
524,-15,-57
525,-12,-52
526,-9,-47
527,-6,-42
528,-3,-37
529,0,-32
530,3,-27
531,6,-22
532,9,-17
533,12,-12
534,15,-7
535,18,-2
536,21,3
537,24,8
538,27,13
539,30,18
540,33,23
541,36,28
542,39,33
543,42,38
544,45,43
545,48,48
546,51,53
547,54,58
548,57,63
549,60,68
550,63,73
551,-61,78
552,-58,83
553,-55,88
554,-52,93
555,-49,98
556,-46,103
557,-43,108
558,-40,113
559,-37,118
560,-34,123
561,-31,-127
562,-28,-122
563,-25,-117
564,-22,-112
565,-19,-107
566,-16,-102
567,-13,-97
568,-10,-92
569,-7,-87
570,-4,-82
571,-1,-77
572,2,-72
573,5,-67
574,8,-62
575,11,-57
576,14,-52
577,17,-47
578,20,-42
579,23,-37
580,26,-32
581,29,-27
582,32,-22
583,35,-17
584,38,-12
585,41,-7
586,44,-2
587,47,3
588,50,8
589,53,13
590,56,18
591,59,23
592,62,28
593,-62,33
594,-59,38
595,-56,43
596,-53,48
597,-50,53
598,-47,58
599,-44,63
600,-41,68
601,-38,73
602,-35,78
603,-32,83
604,-29,88
605,-26,93
606,-23,98
607,-20,103
608,-17,108
609,-14,113
610,-11,118
611,-8,123
612,-5,-127
613,-2,-122
614,1,-117
615,4,-112
616,7,-107
617,10,-102
618,13,-97
619,16,-92
620,19,-87
621,22,-82
622,25,-77
623,28,-72
624,31,-67
625,34,-62
626,37,-57
627,40,-52
628,43,-47
629,46,-42
630,49,-37
631,52,-32
632,55,-27
633,58,-22
634,61,-17
635,-63,-12
636,-60,-7
637,-57,-2
638,-54,3
639,-51,8
640,-48,13
641,-45,18
642,-42,23
643,-39,28
644,-36,33
645,-33,38
646,-30,43
647,-27,48
648,-24,53
649,-21,58
650,-18,63
651,-15,68
652,-12,73
653,-9,78
654,-6,83
655,-3,88
656,0,93
657,3,98
658,6,103
659,9,108
660,12,113
661,15,118
662,18,123
663,21,-127
664,24,-122
665,27,-117
666,30,-112
667,33,-107
668,36,-102
669,39,-97
670,42,-92
671,45,-87
672,48,-82
673,51,-77
674,54,-72
675,57,-67
676,60,-62
677,63,-57
678,-61,-52
679,-58,-47
680,-55,-42
681,-52,-37
682,-49,-32
683,-46,-27
684,-43,-22
685,-40,-17
686,-37,-12
687,-34,-7
688,-31,-2
689,-28,3
690,-25,8
691,-22,13
692,-19,18
693,-16,23
694,-13,28
695,-10,33
696,-7,38
697,-4,43
698,-1,48
699,2,53
700,5,58
701,8,63
702,11,68
703,14,73
704,17,78
705,20,83
706,23,88
707,26,93
708,29,98
709,32,103
710,35,108
711,38,113
712,41,118
713,44,123
714,47,-127
715,50,-122
716,53,-117
717,56,-112
718,59,-107
719,62,-102
720,-62,-97
721,-59,-92
722,-56,-87
723,-53,-82
724,-50,-77
725,-47,-72
726,-44,-67
727,-41,-62
728,-38,-57
729,-35,-52
730,-32,-47
731,-29,-42
732,-26,-37
733,-23,-32
734,-20,-27
735,-17,-22
736,-14,-17
737,-11,-12
738,-8,-7
739,-5,-2
740,-2,3
741,1,8
742,4,13
743,7,18
744,10,23
745,13,28
746,16,33
747,19,38
748,22,43
749,25,48
750,28,53
751,31,58
752,34,63
753,37,68
754,40,73
755,43,78
756,46,83
757,49,88
758,52,93
759,55,98
760,58,103
761,61,108
762,-63,113
763,-60,118
764,-57,123
765,-54,-127
766,-51,-122
767,-48,-117
768,-45,-112
769,-42,-107
770,-39,-102
771,-36,-97
772,-33,-92
773,-30,-87
774,-27,-82
775,-24,-77
776,-21,-72
777,-18,-67
778,-15,-62
779,-12,-57
780,-9,-52
781,-6,-47
782,-3,-42
783,0,-37
784,3,-32
785,6,-27
786,9,-22
787,12,-17
788,15,-12
789,18,-7
790,21,-2
791,24,3
792,27,8
793,30,13
794,33,18
795,36,23
796,39,28
797,42,33
798,45,38
799,48,43
800,51,48
801,54,53
802,57,58
