block_idx,sample_idx,i,q
0,0,-63,-127
0,1,-60,-122
0,2,-57,-117
0,3,-54,-112
0,4,-51,-107
0,5,-48,-102
0,6,-45,-97
0,7,-42,-92
0,8,-39,-87
0,9,-36,-82
0,10,-33,-77
0,11,-30,-72
0,12,-27,-67
0,13,-24,-62
0,14,-21,-57
0,15,-18,-52
0,16,-15,-47
0,17,-12,-42
0,18,-9,-37
0,19,-6,-32
0,20,-3,-27
0,21,0,-22
0,22,3,-17
0,23,6,-12
0,24,9,-7
0,25,12,-2
0,26,15,3
0,27,18,8
0,28,21,13
0,29,24,18
0,30,27,23
0,31,30,28
0,32,33,33
0,33,36,38
0,34,39,43
0,35,42,48
0,36,45,53
0,37,48,58
0,38,51,63
0,39,54,68
0,40,57,73
0,41,60,78
0,42,63,83
0,43,-61,88
0,44,-58,93
0,45,-55,98
0,46,-52,103
0,47,-49,108
0,48,-46,113
0,49,-43,118
0,50,-40,123
0,51,-37,-127
0,52,-34,-122
0,53,-31,-117
0,54,-28,-112
0,55,-25,-107
0,56,-22,-102
0,57,-19,-97
0,58,-16,-92
0,59,-13,-87
0,60,-10,-82
0,61,-7,-77
0,62,-4,-72
0,63,-1,-67
0,64,2,-62
0,65,5,-57
0,66,8,-52
0,67,11,-47
0,68,14,-42
0,69,17,-37
0,70,20,-32
0,71,23,-27
0,72,26,-22
0,73,29,-17
0,74,32,-12
0,75,35,-7
0,76,38,-2
0,77,41,3
0,78,44,8
0,79,47,13
0,80,50,18
0,81,53,23
0,82,56,28
0,83,59,33
0,84,62,38
0,85,-62,43
0,86,-59,48
0,87,-56,53
0,88,-53,58
0,89,-50,63
0,90,-47,68
0,91,-44,73
0,92,-41,78
0,93,-38,83
0,94,-35,88
0,95,-32,93
0,96,-29,98
0,97,-26,103
0,98,-23,108
0,99,-20,113
0,100,-17,118
0,101,-14,123
0,102,-11,-127
0,103,-8,-122
0,104,-5,-117
0,105,-2,-112
0,106,1,-107
0,107,4,-102
0,108,7,-97
0,109,10,-92
0,110,13,-87
0,111,16,-82
0,112,19,-77
0,113,22,-72
0,114,25,-67
0,115,28,-62
0,116,31,-57
0,117,34,-52
0,118,37,-47
0,119,40,-42
0,120,43,-37
0,121,46,-32
0,122,49,-27
0,123,52,-22
0,124,55,-17
0,125,58,-12
0,126,61,-7
0,127,-63,-2
0,128,-60,3
0,129,-57,8
0,130,-54,13
0,131,-51,18
0,132,-48,23
0,133,-45,28
0,134,-42,33
0,135,-39,38
0,136,-36,43
0,137,-33,48
0,138,-30,53
0,139,-27,58
0,140,-24,63
0,141,-21,68
0,142,-18,73
0,143,-15,78
0,144,-12,83
0,145,-9,88
0,146,-6,93
0,147,-3,98
0,148,0,103
0,149,3,108
0,150,6,113
0,151,9,118
0,152,12,123
0,153,15,-127
0,154,18,-122
0,155,21,-117
0,156,24,-112
0,157,27,-107
0,158,30,-102
0,159,33,-97
0,160,36,-92
0,161,39,-87
0,162,42,-82
0,163,45,-77
0,164,48,-72
0,165,51,-67
0,166,54,-62
0,167,57,-57
0,168,60,-52
0,169,63,-47
0,170,-61,-42
0,171,-58,-37
0,172,-55,-32
0,173,-52,-27
0,174,-49,-22
0,175,-46,-17
0,176,-43,-12
0,177,-40,-7
0,178,-37,-2
0,179,-34,3
0,180,-31,8
0,181,-28,13
0,182,-25,18
0,183,-22,23
0,184,-19,28
0,185,-16,33
0,186,-13,38
0,187,-10,43
0,188,-7,48
0,189,-4,53
0,190,-1,58
0,191,2,63
0,192,5,68
0,193,8,73
0,194,11,78
0,195,14,83
0,196,17,88
0,197,20,93
0,198,23,98
0,199,26,103
0,200,29,108
0,201,32,113
0,202,35,118
0,203,38,123
0,204,41,-127
0,205,44,-122
0,206,47,-117
0,207,50,-112
0,208,53,-107
0,209,56,-102
0,210,59,-97
0,211,62,-92
0,212,-62,-87
0,213,-59,-82
0,214,-56,-77
0,215,-53,-72
0,216,-50,-67
0,217,-47,-62
0,218,-44,-57
0,219,-41,-52
0,220,-38,-47
0,221,-35,-42
0,222,-32,-37
0,223,-29,-32
0,224,-26,-27
0,225,-23,-22
0,226,-20,-17
0,227,-17,-12
0,228,-14,-7
0,229,-11,-2
0,230,-8,3
0,231,-5,8
0,232,-2,13
0,233,1,18
0,234,4,23
0,235,7,28
0,236,10,33
0,237,13,38
0,238,16,43
0,239,19,48
0,240,22,53
0,241,25,58
0,242,28,63
0,243,31,68
0,244,34,73
0,245,37,78
0,246,40,83
0,247,43,88
0,248,46,93
0,249,49,98
0,250,52,103
0,251,55,108
0,252,58,113
0,253,61,118
0,254,-63,123
0,255,-60,-127
0,256,-57,-122
0,257,-54,-117
0,258,-51,-112
0,259,-48,-107
0,260,-45,-102
0,261,-42,-97
0,262,-39,-92
0,263,-36,-87
0,264,-33,-82
0,265,-30,-77
0,266,-27,-72
0,267,-24,-67
0,268,-21,-62
0,269,-18,-57
0,270,-15,-52
0,271,-12,-47
0,272,-9,-42
0,273,-6,-37
0,274,-3,-32
0,275,0,-27
0,276,3,-22
0,277,6,-17
0,278,9,-12
0,279,12,-7
0,280,15,-2
0,281,18,3
0,282,21,8
0,283,24,13
0,284,27,18
0,285,30,23
0,286,33,28
0,287,36,33
0,288,39,38
0,289,42,43
0,290,45,48
0,291,48,53
0,292,51,58
0,293,54,63
0,294,57,68
0,295,60,73
0,296,63,78
0,297,-61,83
0,298,-58,88
0,299,-55,93
0,300,-52,98
0,301,-49,103
0,302,-46,108
0,303,-43,113
0,304,-40,118
0,305,-37,123
0,306,-34,-127
0,307,-31,-122
0,308,-28,-117
0,309,-25,-112
0,310,-22,-107
0,311,-19,-102
0,312,-16,-97
0,313,-13,-92
0,314,-10,-87
0,315,-7,-82
0,316,-4,-77
0,317,-1,-72
0,318,2,-67
0,319,5,-62
0,320,8,-57
0,321,11,-52
0,322,14,-47
0,323,17,-42
0,324,20,-37
0,325,23,-32
0,326,26,-27
0,327,29,-22
0,328,32,-17
0,329,35,-12
0,330,38,-7
0,331,41,-2
0,332,44,3
0,333,47,8
0,334,50,13
0,335,53,18
0,336,56,23
0,337,59,28
0,338,62,33
0,339,-62,38
0,340,-59,43
0,341,-56,48
0,342,-53,53
0,343,-50,58
0,344,-47,63
0,345,-44,68
0,346,-41,73
0,347,-38,78
0,348,-35,83
0,349,-32,88
0,350,-29,93
0,351,-26,98
0,352,-23,103
0,353,-20,108
0,354,-17,113
0,355,-14,118
0,356,-11,123
0,357,-8,-127
0,358,-5,-122
0,359,-2,-117
0,360,1,-112
0,361,4,-107
0,362,7,-102
0,363,10,-97
0,364,13,-92
0,365,16,-87
0,366,19,-82
0,367,22,-77
0,368,25,-72
0,369,28,-67
0,370,31,-62
0,371,34,-57
0,372,37,-52
0,373,40,-47
0,374,43,-42
0,375,46,-37
0,376,49,-32
0,377,52,-27
0,378,55,-22
0,379,58,-17
0,380,61,-12
0,381,-63,-7
0,382,-60,-2
0,383,-57,3
0,384,-54,8
0,385,-51,13
0,386,-48,18
0,387,-45,23
0,388,-42,28
0,389,-39,33
0,390,-36,38
0,391,-33,43
0,392,-30,48
0,393,-27,53
0,394,-24,58
0,395,-21,63
0,396,-18,68
0,397,-15,73
0,398,-12,78
0,399,-9,83
0,400,-6,88
0,401,-3,93
0,402,0,98
0,403,3,103
0,404,6,108
0,405,9,113
0,406,12,118
0,407,15,123
0,408,18,-127
0,409,21,-122
0,410,24,-117
0,411,27,-112
0,412,30,-107
0,413,33,-102
0,414,36,-97
0,415,39,-92
0,416,42,-87
0,417,45,-82
0,418,48,-77
0,419,51,-72
0,420,54,-67
0,421,57,-62
0,422,60,-57
0,423,63,-52
0,424,-61,-47
0,425,-58,-42
0,426,-55,-37
0,427,-52,-32
0,428,-49,-27
0,429,-46,-22
0,430,-43,-17
0,431,-40,-12
0,432,-37,-7
0,433,-34,-2
0,434,-31,3
0,435,-28,8
0,436,-25,13
0,437,-22,18
0,438,-19,23
0,439,-16,28
0,440,-13,33
0,441,-10,38
0,442,-7,43
0,443,-4,48
0,444,-1,53
0,445,2,58
0,446,5,63
0,447,8,68
0,448,11,73
0,449,14,78
0,450,17,83
0,451,20,88
0,452,23,93
0,453,26,98
0,454,29,103
0,455,32,108
0,456,35,113
0,457,38,118
0,458,41,123
0,459,44,-127
0,460,47,-122
0,461,50,-117
0,462,53,-112
0,463,56,-107
0,464,59,-102
0,465,62,-97
0,466,-62,-92
0,467,-59,-87
0,468,-56,-82
0,469,-53,-77
0,470,-50,-72
0,471,-47,-67
0,472,-44,-62
0,473,-41,-57
0,474,-38,-52
0,475,-35,-47
0,476,-32,-42
0,477,-29,-37
0,478,-26,-32
0,479,-23,-27
0,480,-20,-22
0,481,-17,-17
0,482,-14,-12
0,483,-11,-7
0,484,-8,-2
0,485,-5,3
0,486,-2,8
0,487,1,13
0,488,4,18
0,489,7,23
0,490,10,28
0,491,13,33
0,492,16,38
0,493,19,43
0,494,22,48
0,495,25,53
0,496,28,58
0,497,31,63
0,498,34,68
0,499,37,73
0,500,40,78
0,501,43,83
0,502,46,88
0,503,49,93
0,504,52,98
0,505,55,103
0,506,58,108
0,507,61,113
0,508,-63,118
0,509,-60,123
0,510,-57,-127
0,511,-54,-122
0,512,-51,-117
0,513,-48,-112
0,514,-45,-107
0,515,-42,-102
0,516,-39,-97
0,517,-36,-92
0,518,-33,-87
0,519,-30,-82
0,520,-27,-77
0,521,-24,-72
0,522,-21,-67
0,523,-18,-62
0,524,-15,-57
0,525,-12,-52
0,526,-9,-47
0,527,-6,-42
0,528,-3,-37
0,529,0,-32
0,530,3,-27
0,531,6,-22
0,532,9,-17
0,533,12,-12
0,534,15,-7
0,535,18,-2
0,536,21,3
0,537,24,8
0,538,27,13
0,539,30,18
0,540,33,23
0,541,36,28
0,542,39,33
0,543,42,38
0,544,45,43
0,545,48,48
0,546,51,53
0,547,54,58
0,548,57,63
0,549,60,68
0,550,63,73
0,551,-61,78
0,552,-58,83
0,553,-55,88
0,554,-52,93
0,555,-49,98
0,556,-46,103
0,557,-43,108
0,558,-40,113
0,559,-37,118
0,560,-34,123
0,561,-31,-127
0,562,-28,-122
0,563,-25,-117
0,564,-22,-112
0,565,-19,-107
0,566,-16,-102
0,567,-13,-97
0,568,-10,-92
0,569,-7,-87
0,570,-4,-82
0,571,-1,-77
0,572,2,-72
0,573,5,-67
0,574,8,-62
0,575,11,-57
0,576,14,-52
0,577,17,-47
0,578,20,-42
0,579,23,-37
0,580,26,-32
0,581,29,-27
0,582,32,-22
0,583,35,-17
0,584,38,-12
0,585,41,-7
0,586,44,-2
0,587,47,3
0,588,50,8
0,589,53,13
0,590,56,18
0,591,59,23
0,592,62,28
0,593,-62,33
0,594,-59,38
0,595,-56,43
