sample_idx,i,q
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,2,-1
17,2,-1
18,2,-1
19,2,-1
20,2,-1
21,2,-1
22,2,-1
23,2,-1
24,3,-1
25,3,-1
26,3,-1
27,3,-1
28,3,-1
29,3,-1
30,3,-1
31,3,-1
32,4,-2
33,4,-2
34,4,-2
35,4,-2
36,4,-2
37,4,-2
38,4,-2
39,4,-2
40,5,-2
41,5,-2
42,5,-2
43,5,-2
44,5,-2
45,5,-2
46,5,-2
47,5,-2
48,6,-3
49,6,-3
50,6,-3
51,6,-3
52,6,-3
53,6,-3
54,6,-3
55,6,-3
56,7,-3
57,7,-3
58,7,-3
59,7,-3
60,7,-3
61,7,-3
62,7,-3
63,7,-3
64,8,-4
65,8,-4
66,8,-4
67,8,-4
68,8,-4
69,8,-4
70,8,-4
71,8,-4
72,9,-4
73,9,-4
74,9,-4
75,9,-4
76,9,-4
77,9,-4
78,9,-4
79,9,-4
80,10,-5
81,10,-5
82,10,-5
83,10,-5
84,10,-5
85,10,-5
86,10,-5
87,10,-5
88,11,-5
89,11,-5
90,11,-5
91,11,-5
92,11,-5
93,11,-5
94,11,-5
95,11,-5
96,12,-6
97,12,-6
98,12,-6
99,12,-6
100,12,-6
101,12,-6
102,12,-6
103,12,-6
104,13,-6
105,13,-6
106,13,-6
107,13,-6
108,13,-6
109,13,-6
110,13,-6
111,13,-6
112,14,-7
113,14,-7
114,14,-7
115,14,-7
116,14,-7
117,14,-7
118,14,-7
119,14,-7
120,15,-7
121,15,-7
122,15,-7
123,15,-7
124,15,-7
125,15,-7
126,15,-7
127,15,-7
128,16,-8
129,16,-8
130,16,-8
131,16,-8
132,16,-8
133,16,-8
134,16,-8
135,16,-8
136,17,-8
137,17,-8
138,17,-8
139,17,-8
140,17,-8
141,17,-8
142,17,-8
143,17,-8
144,18,-9
145,18,-9
146,18,-9
147,18,-9
148,18,-9
149,18,-9
150,18,-9
151,18,-9
152,19,-9
153,19,-9
154,19,-9
155,19,-9
156,19,-9
157,19,-9
158,19,-9
159,19,-9
160,20,-10
161,20,-10
162,20,-10
163,20,-10
164,20,-10
165,20,-10
166,20,-10
167,20,-10
168,21,-10
169,21,-10
170,21,-10
171,21,-10
172,21,-10
173,21,-10
174,21,-10
175,21,-10
176,22,-11
177,22,-11
178,22,-11
179,22,-11
180,22,-11
181,22,-11
182,22,-11
183,22,-11
184,23,-11
185,23,-11
186,23,-11
187,23,-11
188,23,-11
189,23,-11
190,23,-11
191,23,-11
192,24,-12
193,24,-12
194,24,-12
195,24,-12
196,24,-12
197,24,-12
198,24,-12
199,24,-12
200,25,-12
201,25,-12
202,25,-12
203,25,-12
204,25,-12
205,25,-12
206,25,-12
207,25,-12
208,26,-13
209,26,-13
210,26,-13
211,26,-13
212,26,-13
213,26,-13
214,26,-13
215,26,-13
216,27,-13
217,27,-13
218,27,-13
219,27,-13
220,27,-13
221,27,-13
222,27,-13
223,27,-13
224,28,-14
225,28,-14
226,28,-14
227,28,-14
228,28,-14
229,28,-14
230,28,-14
231,28,-14
232,29,-14
233,29,-14
234,29,-14
235,29,-14
236,29,-14
237,29,-14
238,29,-14
239,29,-14
240,30,-15
241,30,-15
242,30,-15
243,30,-15
244,30,-15
245,30,-15
246,30,-15
247,30,-15
248,31,-15
249,31,-15
250,31,-15
251,31,-15
252,31,-15
253,31,-15
254,31,-15
255,31,-15
256,32,-16
257,32,-16
258,32,-16
259,32,-16
260,32,-16
261,32,-16
262,32,-16
263,32,-16
264,33,-16
265,33,-16
266,33,-16
267,33,-16
268,33,-16
269,33,-16
270,33,-16
271,33,-16
272,34,-17
273,34,-17
274,34,-17
275,34,-17
276,34,-17
277,34,-17
278,34,-17
279,34,-17
280,35,-17
281,35,-17
282,35,-17
283,35,-17
284,35,-17
285,35,-17
286,35,-17
287,35,-17
288,36,-18
289,36,-18
290,36,-18
291,36,-18
292,36,-18
293,36,-18
294,36,-18
295,36,-18
296,37,-18
297,37,-18
298,37,-18
299,37,-18
300,37,-18
301,37,-18
302,37,-18
303,37,-18
304,38,-19
305,38,-19
306,38,-19
307,38,-19
308,38,-19
309,38,-19
310,38,-19
311,38,-19
312,39,-19
313,39,-19
314,39,-19
315,39,-19
316,39,-19
317,39,-19
318,39,-19
319,39,-19
320,40,-20
321,40,-20
322,40,-20
323,40,-20
324,40,-20
325,40,-20
326,40,-20
327,40,-20
328,41,-20
329,41,-20
330,41,-20
331,41,-20
332,41,-20
333,41,-20
334,41,-20
335,41,-20
336,42,-21
337,42,-21
338,42,-21
339,42,-21
340,42,-21
341,42,-21
342,42,-21
343,42,-21
344,43,-21
345,43,-21
346,43,-21
347,43,-21
348,43,-21
349,43,-21
350,43,-21
351,43,-21
352,44,-22
353,44,-22
354,44,-22
355,44,-22
356,44,-22
357,44,-22
358,44,-22
359,44,-22
360,45,-22
361,45,-22
362,45,-22
363,45,-22
364,45,-22
365,45,-22
366,45,-22
367,45,-22
368,46,-23
369,46,-23
370,46,-23
371,46,-23
372,46,-23
373,46,-23
374,46,-23
375,46,-23
376,47,-23
377,47,-23
378,47,-23
379,47,-23
380,47,-23
381,47,-23
382,47,-23
383,47,-23
384,48,-24
385,48,-24
386,48,-24
387,48,-24
388,48,-24
389,48,-24
390,48,-24
391,48,-24
392,49,-24
393,49,-24
394,49,-24
395,49,-24
396,49,-24
397,49,-24
398,49,-24
399,49,-24
400,50,-25
401,50,-25
402,50,-25
403,50,-25
404,50,-25
405,50,-25
406,50,-25
407,50,-25
408,51,-25
409,51,-25
410,51,-25
411,51,-25
412,51,-25
413,51,-25
414,51,-25
415,51,-25
416,52,-26
417,52,-26
418,52,-26
419,52,-26
420,52,-26
421,52,-26
422,52,-26
423,52,-26
424,53,-26
425,53,-26
426,53,-26
427,53,-26
428,53,-26
429,53,-26
430,53,-26
431,53,-26
432,54,-27
433,54,-27
434,54,-27
435,54,-27
436,54,-27
437,54,-27
438,54,-27
439,54,-27
440,55,-27
441,55,-27
442,55,-27
443,55,-27
444,55,-27
445,55,-27
446,55,-27
447,55,-27
448,56,-28
449,56,-28
450,56,-28
451,56,-28
452,56,-28
453,56,-28
454,56,-28
455,56,-28
456,57,-28
457,57,-28
458,57,-28
459,57,-28
460,57,-28
461,57,-28
462,57,-28
463,57,-28
464,58,-29
465,58,-29
466,58,-29
467,58,-29
468,58,-29
469,58,-29
470,58,-29
471,58,-29
472,59,-29
473,59,-29
474,59,-29
475,59,-29
476,59,-29
477,59,-29
478,59,-29
479,59,-29
480,60,-30
481,60,-30
482,60,-30
483,60,-30
484,60,-30
485,60,-30
486,60,-30
487,60,-30
488,61,-30
489,61,-30
490,61,-30
491,61,-30
