block_idx,sample_idx,i,q
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,1,0
0,9,1,0
0,10,1,0
0,11,1,0
0,12,1,0
0,13,1,0
0,14,1,0
0,15,1,0
0,16,2,-1
0,17,2,-1
0,18,2,-1
0,19,2,-1
0,20,2,-1
0,21,2,-1
0,22,2,-1
0,23,2,-1
0,24,3,-1
0,25,3,-1
0,26,3,-1
0,27,3,-1
0,28,3,-1
0,29,3,-1
0,30,3,-1
0,31,3,-1
0,32,4,-2
0,33,4,-2
0,34,4,-2
0,35,4,-2
0,36,4,-2
0,37,4,-2
0,38,4,-2
0,39,4,-2
0,40,5,-2
0,41,5,-2
0,42,5,-2
0,43,5,-2
0,44,5,-2
0,45,5,-2
0,46,5,-2
0,47,5,-2
0,48,6,-3
0,49,6,-3
0,50,6,-3
0,51,6,-3
0,52,6,-3
0,53,6,-3
0,54,6,-3
0,55,6,-3
0,56,7,-3
0,57,7,-3
0,58,7,-3
0,59,7,-3
0,60,7,-3
0,61,7,-3
0,62,7,-3
0,63,7,-3
0,64,8,-4
0,65,8,-4
0,66,8,-4
0,67,8,-4
0,68,8,-4
0,69,8,-4
0,70,8,-4
0,71,8,-4
0,72,9,-4
0,73,9,-4
0,74,9,-4
0,75,9,-4
0,76,9,-4
0,77,9,-4
0,78,9,-4
0,79,9,-4
0,80,10,-5
0,81,10,-5
0,82,10,-5
0,83,10,-5
0,84,10,-5
0,85,10,-5
0,86,10,-5
0,87,10,-5
0,88,11,-5
0,89,11,-5
0,90,11,-5
0,91,11,-5
0,92,11,-5
0,93,11,-5
0,94,11,-5
0,95,11,-5
0,96,12,-6
0,97,12,-6
0,98,12,-6
0,99,12,-6
0,100,12,-6
0,101,12,-6
0,102,12,-6
0,103,12,-6
0,104,13,-6
0,105,13,-6
0,106,13,-6
0,107,13,-6
0,108,13,-6
0,109,13,-6
0,110,13,-6
0,111,13,-6
0,112,14,-7
0,113,14,-7
0,114,14,-7
0,115,14,-7
0,116,14,-7
0,117,14,-7
0,118,14,-7
0,119,14,-7
0,120,15,-7
0,121,15,-7
0,122,15,-7
0,123,15,-7
0,124,15,-7
0,125,15,-7
0,126,15,-7
0,127,15,-7
0,128,16,-8
0,129,16,-8
0,130,16,-8
0,131,16,-8
0,132,16,-8
0,133,16,-8
0,134,16,-8
0,135,16,-8
0,136,17,-8
0,137,17,-8
0,138,17,-8
0,139,17,-8
0,140,17,-8
0,141,17,-8
0,142,17,-8
0,143,17,-8
0,144,18,-9
0,145,18,-9
0,146,18,-9
0,147,18,-9
0,148,18,-9
0,149,18,-9
0,150,18,-9
0,151,18,-9
0,152,19,-9
0,153,19,-9
0,154,19,-9
0,155,19,-9
0,156,19,-9
0,157,19,-9
0,158,19,-9
0,159,19,-9
0,160,20,-10
0,161,20,-10
0,162,20,-10
0,163,20,-10
0,164,20,-10
0,165,20,-10
0,166,20,-10
0,167,20,-10
0,168,21,-10
0,169,21,-10
0,170,21,-10
0,171,21,-10
0,172,21,-10
0,173,21,-10
0,174,21,-10
0,175,21,-10
0,176,22,-11
0,177,22,-11
0,178,22,-11
0,179,22,-11
0,180,22,-11
0,181,22,-11
0,182,22,-11
0,183,22,-11
0,184,23,-11
0,185,23,-11
0,186,23,-11
0,187,23,-11
0,188,23,-11
0,189,23,-11
0,190,23,-11
0,191,23,-11
0,192,24,-12
0,193,24,-12
0,194,24,-12
0,195,24,-12
0,196,24,-12
0,197,24,-12
0,198,24,-12
0,199,24,-12
0,200,25,-12
0,201,25,-12
0,202,25,-12
0,203,25,-12
0,204,25,-12
0,205,25,-12
0,206,25,-12
0,207,25,-12
0,208,26,-13
0,209,26,-13
0,210,26,-13
0,211,26,-13
0,212,26,-13
0,213,26,-13
0,214,26,-13
0,215,26,-13
0,216,27,-13
0,217,27,-13
0,218,27,-13
0,219,27,-13
0,220,27,-13
0,221,27,-13
0,222,27,-13
0,223,27,-13
0,224,28,-14
0,225,28,-14
0,226,28,-14
0,227,28,-14
0,228,28,-14
0,229,28,-14
0,230,28,-14
0,231,28,-14
0,232,29,-14
0,233,29,-14
0,234,29,-14
0,235,29,-14
0,236,29,-14
0,237,29,-14
0,238,29,-14
0,239,29,-14
0,240,30,-15
0,241,30,-15
0,242,30,-15
0,243,30,-15
0,244,30,-15
0,245,30,-15
0,246,30,-15
0,247,30,-15
0,248,31,-15
0,249,31,-15
0,250,31,-15
0,251,31,-15
0,252,31,-15
0,253,31,-15
0,254,31,-15
0,255,31,-15
0,256,32,-16
0,257,32,-16
0,258,32,-16
0,259,32,-16
0,260,32,-16
0,261,32,-16
0,262,32,-16
0,263,32,-16
0,264,33,-16
0,265,33,-16
0,266,33,-16
0,267,33,-16
0,268,33,-16
0,269,33,-16
0,270,33,-16
0,271,33,-16
0,272,34,-17
0,273,34,-17
0,274,34,-17
0,275,34,-17
0,276,34,-17
0,277,34,-17
0,278,34,-17
0,279,34,-17
0,280,35,-17
0,281,35,-17
0,282,35,-17
0,283,35,-17
0,284,35,-17
0,285,35,-17
0,286,35,-17
0,287,35,-17
0,288,36,-18
0,289,36,-18
0,290,36,-18
0,291,36,-18
0,292,36,-18
0,293,36,-18
0,294,36,-18
0,295,36,-18
0,296,37,-18
0,297,37,-18
0,298,37,-18
0,299,37,-18
0,300,37,-18
0,301,37,-18
0,302,37,-18
0,303,37,-18
0,304,38,-19
0,305,38,-19
0,306,38,-19
0,307,38,-19
0,308,38,-19
0,309,38,-19
0,310,38,-19
0,311,38,-19
0,312,39,-19
0,313,39,-19
0,314,39,-19
0,315,39,-19
0,316,39,-19
0,317,39,-19
0,318,39,-19
0,319,39,-19
0,320,40,-20
0,321,40,-20
0,322,40,-20
0,323,40,-20
0,324,40,-20
0,325,40,-20
0,326,40,-20
0,327,40,-20
0,328,41,-20
0,329,41,-20
0,330,41,-20
0,331,41,-20
0,332,41,-20
0,333,41,-20
0,334,41,-20
0,335,41,-20
0,336,42,-21
0,337,42,-21
0,338,42,-21
0,339,42,-21
0,340,42,-21
0,341,42,-21
0,342,42,-21
0,343,42,-21
0,344,43,-21
0,345,43,-21
0,346,43,-21
0,347,43,-21
0,348,43,-21
0,349,43,-21
0,350,43,-21
0,351,43,-21
0,352,44,-22
0,353,44,-22
0,354,44,-22
0,355,44,-22
0,356,44,-22
0,357,44,-22
0,358,44,-22
0,359,44,-22
0,360,45,-22
0,361,45,-22
0,362,45,-22
0,363,45,-22
0,364,45,-22
0,365,45,-22
0,366,45,-22
0,367,45,-22
0,368,46,-23
0,369,46,-23
0,370,46,-23
0,371,46,-23
0,372,46,-23
0,373,46,-23
0,374,46,-23
0,375,46,-23
0,376,47,-23
0,377,47,-23
0,378,47,-23
0,379,47,-23
0,380,47,-23
0,381,47,-23
0,382,47,-23
0,383,47,-23
0,384,48,-24
0,385,48,-24
0,386,48,-24
0,387,48,-24
0,388,48,-24
0,389,48,-24
0,390,48,-24
0,391,48,-24
0,392,49,-24
0,393,49,-24
0,394,49,-24
0,395,49,-24
0,396,49,-24
0,397,49,-24
0,398,49,-24
0,399,49,-24
0,400,50,-25
0,401,50,-25
0,402,50,-25
0,403,50,-25
0,404,50,-25
0,405,50,-25
0,406,50,-25
0,407,50,-25
0,408,51,-25
0,409,51,-25
0,410,51,-25
0,411,51,-25
0,412,51,-25
0,413,51,-25
0,414,51,-25
0,415,51,-25
0,416,52,-26
0,417,52,-26
0,418,52,-26
0,419,52,-26
0,420,52,-26
0,421,52,-26
0,422,52,-26
0,423,52,-26
0,424,53,-26
0,425,53,-26
