sample_idx,i,q
0,-15,0
1,-14,0
2,-13,0
3,-12,0
4,-11,0
5,-10,0
6,-9,0
7,-8,0
8,-7,0
9,-6,0
10,-5,0
11,-4,0
12,-3,0
13,-2,0
14,-1,0
15,0,0
16,1,0
17,2,0
18,3,0
19,4,0
20,5,0
21,6,0
22,7,0
23,8,0
24,9,0
25,10,0
26,11,0
27,12,0
28,13,0
29,14,0
30,15,0
31,-15,0
32,-14,0
33,-13,0
34,-12,0
35,-11,0
36,-10,0
37,-9,0
38,-8,0
39,-7,0
40,-6,0
41,-5,0
42,-4,0
43,-3,0
44,-2,0
45,-1,0
46,0,0
47,1,0
48,2,0
49,3,0
50,4,0
51,5,0
52,6,0
53,7,0
54,8,0
55,9,0
56,10,0
57,11,0
58,12,0
59,13,0
60,14,0
61,15,0
62,-15,0
63,-14,0
64,-13,0
65,-12,0
66,-11,0
67,-10,0
68,-9,0
69,-8,0
70,-7,0
71,-6,0
72,-5,0
73,-4,0
74,-3,0
75,-2,0
76,-1,0
77,0,0
78,1,0
79,2,0
80,3,0
81,4,0
82,5,0
83,6,0
84,7,0
85,8,0
86,9,0
87,10,0
88,11,0
89,12,0
90,13,0
91,14,0
92,15,0
93,-15,0
94,-14,0
95,-13,0
96,-12,0
97,-11,0
98,-10,0
99,-9,0
100,-8,0
101,-7,0
102,-6,0
103,-5,0
104,-4,0
105,-3,0
106,-2,0
107,-1,0
108,0,0
109,1,0
110,2,0
111,3,0
112,4,0
113,5,0
114,6,0
115,7,0
116,8,0
117,9,0
118,10,0
119,11,0
120,12,0
121,13,0
122,14,0
123,15,0
124,-15,0
125,-14,0
126,-13,0
127,-12,0
128,-11,0
129,-10,0
130,-9,0
131,-8,0
132,-7,0
133,-6,0
134,-5,0
135,-4,0
136,-3,0
137,-2,0
138,-1,0
139,0,0
140,1,0
141,2,0
142,3,0
143,4,0
144,5,0
145,6,0
146,7,0
147,8,0
148,9,0
149,10,0
150,11,0
151,12,0
152,13,0
153,14,0
154,15,0
155,-15,0
156,-14,0
157,-13,0
158,-12,0
159,-11,0
160,-10,0
161,-9,0
162,-8,0
163,-7,0
164,-6,0
165,-5,0
166,-4,0
167,-3,0
168,-2,0
169,-1,0
170,0,0
171,1,0
172,2,0
173,3,0
174,4,0
175,5,0
176,6,0
177,7,0
178,8,0
179,9,0
180,10,0
181,11,0
182,12,0
183,13,0
184,14,0
185,15,0
186,-15,0
187,-14,0
188,-13,0
189,-12,0
190,-11,0
191,-10,0
192,-9,0
193,-8,0
194,-7,0
195,-6,0
196,-5,0
