block_idx,sample_idx,i,q
0,0,-15,0
0,1,-14,0
0,2,-13,0
0,3,-12,0
0,4,-11,0
0,5,-10,0
0,6,-9,0
0,7,-8,0
0,8,-7,0
0,9,-6,0
0,10,-5,0
0,11,-4,0
0,12,-3,0
0,13,-2,0
0,14,-1,0
0,15,0,0
0,16,1,0
0,17,2,0
0,18,3,0
0,19,4,0
0,20,5,0
0,21,6,0
0,22,7,0
0,23,8,0
0,24,9,0
0,25,10,0
0,26,11,0
0,27,12,0
0,28,13,0
0,29,14,0
0,30,15,0
0,31,-15,0
0,32,-14,0
0,33,-13,0
0,34,-12,0
0,35,-11,0
0,36,-10,0
0,37,-9,0
0,38,-8,0
0,39,-7,0
0,40,-6,0
0,41,-5,0
0,42,-4,0
0,43,-3,0
0,44,-2,0
0,45,-1,0
0,46,0,0
0,47,1,0
0,48,2,0
0,49,3,0
0,50,4,0
0,51,5,0
0,52,6,0
0,53,7,0
0,54,8,0
0,55,9,0
0,56,10,0
0,57,11,0
0,58,12,0
0,59,13,0
0,60,14,0
0,61,15,0
0,62,-15,0
0,63,-14,0
0,64,-13,0
0,65,-12,0
0,66,-11,0
0,67,-10,0
0,68,-9,0
0,69,-8,0
0,70,-7,0
0,71,-6,0
0,72,-5,0
0,73,-4,0
0,74,-3,0
0,75,-2,0
0,76,-1,0
0,77,0,0
0,78,1,0
0,79,2,0
0,80,3,0
0,81,4,0
0,82,5,0
0,83,6,0
0,84,7,0
0,85,8,0
0,86,9,0
0,87,10,0
0,88,11,0
0,89,12,0
0,90,13,0
0,91,14,0
0,92,15,0
0,93,-15,0
0,94,-14,0
0,95,-13,0
0,96,-12,0
0,97,-11,0
0,98,-10,0
0,99,-9,0
0,100,-8,0
0,101,-7,0
0,102,-6,0
0,103,-5,0
0,104,-4,0
0,105,-3,0
0,106,-2,0
0,107,-1,0
0,108,0,0
0,109,1,0
0,110,2,0
0,111,3,0
0,112,4,0
0,113,5,0
0,114,6,0
0,115,7,0
0,116,8,0
0,117,9,0
0,118,10,0
0,119,11,0
0,120,12,0
0,121,13,0
0,122,14,0
0,123,15,0
0,124,-15,0
0,125,-14,0
0,126,-13,0
0,127,-12,0
0,128,-11,0
0,129,-10,0
0,130,-9,0
0,131,-8,0
0,132,-7,0
0,133,-6,0
0,134,-5,0
0,135,-4,0
0,136,-3,0
0,137,-2,0
0,138,-1,0
0,139,0,0
0,140,1,0
0,141,2,0
0,142,3,0
0,143,4,0
0,144,5,0
0,145,6,0
0,146,7,0
0,147,8,0
0,148,9,0
0,149,10,0
0,150,11,0
0,151,12,0
0,152,13,0
0,153,14,0
0,154,15,0
0,155,-15,0
0,156,-14,0
0,157,-13,0
0,158,-12,0
0,159,-11,0
0,160,-10,0
0,161,-9,0
0,162,-8,0
0,163,-7,0
0,164,-6,0
0,165,-5,0
0,166,-4,0
0,167,-3,0
0,168,-2,0
0,169,-1,0
0,170,0,0
0,171,1,0
0,172,2,0
0,173,3,0
0,174,4,0
0,175,5,0
0,176,6,0
0,177,7,0
0,178,8,0
0,179,9,0
0,180,10,0
0,181,11,0
0,182,12,0
0,183,13,0
0,184,14,0
0,185,15,0
0,186,-15,0
0,187,-14,0
0,188,-13,0
0,189,-12,0
0,190,-11,0
0,191,-10,0
0,192,-9,0
0,193,-8,0
0,194,-7,0
0,195,-6,0
0,196,-5,0
0,197,-4,0
0,198,-3,0
0,199,-2,0
0,200,-1,0
0,201,0,0
0,202,1,0
0,203,2,0
0,204,3,0
0,205,4,0
0,206,5,0
0,207,6,0
0,208,7,0
0,209,8,0
0,210,9,0
0,211,10,0
0,212,11,0
0,213,12,0
0,214,13,0
0,215,14,0
0,216,15,0
0,217,-15,0
0,218,-14,0
0,219,-13,0
0,220,-12,0
0,221,-11,0
0,222,-10,0
0,223,-9,0
0,224,-8,0
0,225,-7,0
0,226,-6,0
0,227,-5,0
0,228,-4,0
0,229,-3,0
0,230,-2,0
0,231,-1,0
0,232,0,0
0,233,1,0
0,234,2,0
0,235,3,0
0,236,4,0
0,237,5,0
0,238,6,0
0,239,7,0
0,240,8,0
0,241,9,0
0,242,10,0
0,243,11,0
0,244,12,0
0,245,13,0
0,246,14,0
0,247,15,0
0,248,-15,0
0,249,-14,0
0,250,-13,0
0,251,-12,0
0,252,-11,0
0,253,-10,0
0,254,-9,0
0,255,-8,0
0,256,-7,0
0,257,-6,0
0,258,-5,0
0,259,-4,0
0,260,-3,0
0,261,-2,0
0,262,-1,0
0,263,0,0
0,264,1,0
0,265,2,0
0,266,3,0
0,267,4,0
0,268,5,0
0,269,6,0
0,270,7,0
0,271,8,0
0,272,9,0
0,273,10,0
0,274,11,0
0,275,12,0
0,276,13,0
0,277,14,0
0,278,15,0
0,279,-15,0
0,280,-14,0
0,281,-13,0
0,282,-12,0
0,283,-11,0
0,284,-10,0
0,285,-9,0
0,286,-8,0
0,287,-7,0
0,288,-6,0
0,289,-5,0
0,290,-4,0
0,291,-3,0
0,292,-2,0
0,293,-1,0
0,294,0,0
0,295,1,0
0,296,2,0
0,297,3,0
0,298,4,0
0,299,5,0
0,300,6,0
0,301,7,0
0,302,8,0
0,303,9,0
0,304,10,0
0,305,11,0
0,306,12,0
0,307,13,0
0,308,14,0
0,309,15,0
0,310,-15,0
0,311,-14,0
0,312,-13,0
0,313,-12,0
0,314,-11,0
0,315,-10,0
0,316,-9,0
0,317,-8,0
0,318,-7,0
0,319,-6,0
0,320,-5,0
0,321,-4,0
0,322,-3,0
0,323,-2,0
0,324,-1,0
0,325,0,0
0,326,1,0
0,327,2,0
0,328,3,0
0,329,4,0
0,330,5,0
0,331,6,0
0,332,7,0
0,333,8,0
0,334,9,0
0,335,10,0
0,336,11,0
0,337,12,0
0,338,13,0
0,339,14,0
0,340,15,0
0,341,-15,0
0,342,-14,0
0,343,-13,0
0,344,-12,0
0,345,-11,0
0,346,-10,0
0,347,-9,0
0,348,-8,0
0,349,-7,0
0,350,-6,0
0,351,-5,0
0,352,-4,0
0,353,-3,0
0,354,-2,0
0,355,-1,0
0,356,0,0
0,357,1,0
0,358,2,0
0,359,3,0
0,360,4,0
0,361,5,0
0,362,6,0
0,363,7,0
0,364,8,0
0,365,9,0
0,366,10,0
0,367,11,0
0,368,12,0
0,369,13,0
0,370,14,0
0,371,15,0
0,372,-15,0
0,373,-14,0
0,374,-13,0
0,375,-12,0
0,376,-11,0
0,377,-10,0
0,378,-9,0
0,379,-8,0
0,380,-7,0
0,381,-6,0
0,382,-5,0
0,383,-4,0
0,384,-3,0
0,385,-2,0
0,386,-1,0
0,387,0,0
0,388,1,0
0,389,2,0
0,390,3,0
0,391,4,0
0,392,5,0
0,393,6,0
0,394,7,0
0,395,8,0
0,396,9,0
0,397,10,0
0,398,11,0
0,399,12,0
0,400,13,0
0,401,14,0
0,402,15,0
0,403,-15,0
0,404,-14,0
0,405,-13,0
0,406,-12,0
0,407,-11,0
0,408,-10,0
0,409,-9,0
0,410,-8,0
0,411,-7,0
0,412,-6,0
0,413,-5,0
0,414,-4,0
0,415,-3,0
0,416,-2,0
0,417,-1,0
0,418,0,0
0,419,1,0
0,420,2,0
0,421,3,0
0,422,4,0
0,423,5,0
0,424,6,0
0,425,7,0
0,426,8,0
0,427,9,0
0,428,10,0
0,429,11,0
0,430,12,0
0,431,13,0
0,432,14,0
0,433,15,0
0,434,-15,0
0,435,-14,0
0,436,-13,0
0,437,-12,0
0,438,-11,0
