sample_idx,i,q
0,-13457,27466
1,2004,9318
2,-20217,16627
3,-28319,-23638
4,18807,-27046
5,10245,18874
6,9012,-11394
7,4954,2691
8,-30208,-17024
9,-9319,2976
10,29208,-6518
11,-28833,14102
12,23857,22064
13,24726,5798
14,-29413,-13360
15,9988,-14352
16,3391,13474
17,6390,-5073
18,-1080,-29012
19,-14223,16189
20,-13257,-3126
21,4031,-21249
22,-6813,-29533
23,18920,-13601
24,-5343,-28391
25,-23338,16459
26,-22879,-28589
27,-29148,-4463
28,14289,-8902
29,-13611,-22809
30,-19742,3061
31,21716,-3717
32,4455,-30405
33,-27372,21161
34,2949,-14858
35,-22351,-21694
36,11584,9461
37,-25004,-25721
38,-3605,-9618
39,25426,-7491
40,19481,-3569
41,-28313,31264
42,30198,15033
43,10433,-12306
44,14337,25870
45,15963,18564
46,25410,-15598
47,-23990,-12486
48,18151,-24285
49,22150,-5101
50,21581,28820
51,-30858,-8714
52,-7185,-4275
53,-4113,27334
54,1352,29313
55,-468,-16072
56,-24221,13743
57,31744,-29493
58,-28463,-23938
59,5195,426
60,5293,5837
61,29775,-11345
62,-19829,-23278
63,-27308,-15884
64,25156,23425
65,-31740,12056
66,19372,32678
67,17576,-11833
68,24382,-3054
69,27270,24092
70,-14824,9078
71,-17277,-11018
72,-12418,2751
73,14132,-25407
74,-27346,20743
75,11500,-18290
76,23496,981
77,12641,1709
78,18683,-14609
79,-9616,26504
80,-18338,-5215
81,-16688,29426
82,14903,18774
83,-28566,-1210
84,-3032,-31987
85,-808,-28855
86,9232,21346
87,-25811,-6250
88,4824,-29285
89,30169,-15753
90,1027,-14343
91,4576,29052
92,31982,25796
93,21815,-19511
94,-122,-26191
95,-27516,4786
96,24316,16081
97,13964,6603
98,15211,26819
99,21208,28742
100,16054,4034
101,-5698,25613
102,963,-12290
103,22710,17763
104,23518,-18767
105,-12419,-13872
106,-24944,-14848
107,1373,-16483
108,-3346,-31820
109,26036,7150
110,-453,23713
111,293,-15785
112,-8840,24042
113,18547,-4815
114,29355,-22257
115,-24248,-29064
116,10558,-5059
117,-22038,15466
118,-12522,-1511
119,30581,13153
120,-1124,27930
121,2670,-3101
122,13839,-7092
123,12283,-9225
124,-30346,27573
125,25439,-30945
126,-20409,-17368
127,18482,-27555
128,9432,4311
129,-957,-13443
130,28117,14377
131,-15082,-26293
132,20590,-31011
133,12782,13227
134,-17333,19101
135,29707,-7978
136,5599,-16560
137,5443,-15547
138,-22466,-104
139,-4900,-12833
140,-17366,14328
141,6586,7252
142,-9136,-28530
143,-21701,-23068
144,-10011,30817
145,-18710,-1867
146,19302,15281
147,19117,-18960
148,-21985,9350
149,16407,26974
150,-29105,-30506
151,-17533,-21145
152,9836,-13353
153,14302,-12280
154,-1308,-11474
155,-10643,5116
156,-7229,32657
157,23514,-9517
158,746,-31405
159,24555,-26239
160,29257,-7103
161,28556,6859
162,-457,24857
163,6587,-23422
164,-19191,-9540
165,29896,3270
166,31903,22122
167,21586,5909
168,2483,32425
169,-27294,16313
170,-12198,-30774
171,-25814,27751
172,-19340,31449
173,-11435,-10660
174,105,10050
175,24793,5281
176,-15663,27733
177,1975,21538
178,22535,25176
179,-23819,24482
180,-6539,-2530
181,4488,13290
182,-20576,30150
183,-31870,-13974
184,6081,-3039
185,-31739,-17625
186,5635,4045
187,-5986,-16684
188,-17785,-10342
189,-20324,-17780
190,27086,-6079
191,5912,-22820
192,-21549,31990
193,14055,-2924
194,-17142,2448
195,27643,17514
196,14501,27962
197,11594,15221
198,31903,-27530
199,2604,20663
200,-177,3961
201,26091,4099
202,30246,26691
203,-32624,-17097
204,21699,27338
205,3752,-16991
206,28509,24839
207,14315,3198
208,30021,10877
209,16983,592
210,-15474,-2338
211,-23872,22910
212,26318,17985
213,1053,-19368
214,22900,-983
215,-29145,5501
216,-4591,14050
217,-19296,5204
218,24287,-32235
219,12716,12816
220,-28677,-25864
221,7521,30401
222,22235,-21419
223,-30555,29048
224,7380,2387
225,27906,27474
226,-22842,9884
227,14938,31495
228,-22884,-31430
229,22279,-865
230,-20800,1449
231,-7137,-17107
232,-9162,14211
233,-6689,-26337
234,32126,-17925
235,-19744,3644
236,-8569,-32670
237,17655,20126
238,-3574,20520
239,3687,-17751
240,17288,-16477
241,32753,9435
242,20835,21283
243,-4001,19855
244,-10357,1326
245,-10748,-24101
246,24868,-24433
247,16486,29953
248,-27714,-22858
249,1719,-7699
250,11342,13051
251,-812,-31747
252,1570,18149
253,23518,-18082
254,-10771,-30361
255,-23911,-17275
256,7189,-16845
257,10500,-4193
258,31262,4362
259,21117,28102
260,18262,-7964
261,29022,-6945
262,-6638,-25813
263,-12961,-14319
264,12669,20492
265,3892,-22936
266,1038,-21334
267,-18174,1327
268,9821,28706
269,11624,11000
270,-7449,-2595
271,-15637,18583
272,32686,-9341
273,-15440,15980
274,-21971,5098
275,18559,-12373
276,-1296,12025
277,29708,-15926
278,-8990,-29990
279,6752,18266
280,-32145,12305
281,17575,-20184
282,30532,25940
283,12176,-30105
284,22106,10357
285,-26017,27657
286,18891,-18622
287,-4549,-5453
288,-21283,-23386
289,26239,18119
290,10683,25983
291,-18630,-11133
292,-15254,-25070
293,-22592,-27534
294,10032,-2413
295,13720,-10213
296,-28702,19963
297,31197,22118
298,-12993,8170
299,10281,-13577
300,19362,32046
301,24582,10165
302,13497,11170
303,10701,-1014
304,-1371,17818
305,-9242,14424
306,29777,-12737
307,7154,4503
308,23394,6787
309,24931,31167
310,-21024,-4404
311,-18557,-9940
312,-30451,-22496
313,-22906,-17397
314,-25207,-12761
315,26455,-21039
316,31465,-25637
317,649,-30046
318,-3511,8126
319,12104,-5995
320,-24638,-27271
321,13032,-23429
322,-3972,23539
323,10209,29598
324,19460,-16178
325,3171,-17223
326,-12764,-31098
327,-11193,-28248
328,-18980,-23840
329,18838,-17093
330,-6280,-2352
331,13753,-13351
332,-13919,-1124
333,-14017,-13174
334,-10924,16571
335,355,-23022
336,27644,22506
337,14529,2777
338,-15273,-15315
339,-30315,-21883
340,-3784,2966
341,-13779,2652
342,17817,-4870
343,-6515,31781
344,-20564,-20169
345,25448,-12915
346,20272,-16205
347,-10345,-16942
348,-13914,-18755
349,7857,-22360
350,17774,24974
351,13245,-15272
352,24848,-15124
353,5754,-8168
354,-14259,-21500
355,6841,32084
356,9459,-16579
357,-27936,26152
358,-26344,-21800
359,-5735,6567
360,-10630,-7804
361,-10179,-11729
362,-445,-23380
363,-12040,30485
364,-19835,-23084
365,-4037,12110
366,-20329,24124
367,12205,-13893
368,-6809,-28912
369,-8806,-24704
370,6244,-14617
371,-23542,-20994
372,9769,-22733
373,-25103,-28910
374,20526,23576
375,-1720,6499
376,-27911,9431
377,-4220,-28939
378,-275,-3598
379,-4848,6560
380,-26165,21246
381,28648,720
382,-3086,-26032
383,27183,-16260
384,31675,10790
