block_idx,sample_idx,i,q
0,0,-13457,27466
0,1,2004,9318
0,2,-20217,16627
0,3,-28319,-23638
0,4,18807,-27046
0,5,10245,18874
0,6,9012,-11394
0,7,4954,2691
0,8,-30208,-17024
0,9,-9319,2976
0,10,29208,-6518
0,11,-28833,14102
0,12,23857,22064
0,13,24726,5798
0,14,-29413,-13360
0,15,9988,-14352
0,16,3391,13474
0,17,6390,-5073
0,18,-1080,-29012
0,19,-14223,16189
0,20,-13257,-3126
0,21,4031,-21249
0,22,-6813,-29533
0,23,18920,-13601
0,24,-5343,-28391
0,25,-23338,16459
0,26,-22879,-28589
0,27,-29148,-4463
0,28,14289,-8902
0,29,-13611,-22809
0,30,-19742,3061
0,31,21716,-3717
0,32,4455,-30405
0,33,-27372,21161
0,34,2949,-14858
0,35,-22351,-21694
0,36,11584,9461
0,37,-25004,-25721
0,38,-3605,-9618
0,39,25426,-7491
0,40,19481,-3569
0,41,-28313,31264
0,42,30198,15033
0,43,10433,-12306
0,44,14337,25870
0,45,15963,18564
0,46,25410,-15598
0,47,-23990,-12486
0,48,18151,-24285
0,49,22150,-5101
0,50,21581,28820
0,51,-30858,-8714
0,52,-7185,-4275
0,53,-4113,27334
0,54,1352,29313
0,55,-468,-16072
0,56,-24221,13743
0,57,31744,-29493
0,58,-28463,-23938
0,59,5195,426
0,60,5293,5837
0,61,29775,-11345
0,62,-19829,-23278
0,63,-27308,-15884
0,64,25156,23425
0,65,-31740,12056
0,66,19372,32678
0,67,17576,-11833
0,68,24382,-3054
0,69,27270,24092
0,70,-14824,9078
0,71,-17277,-11018
0,72,-12418,2751
0,73,14132,-25407
0,74,-27346,20743
0,75,11500,-18290
0,76,23496,981
0,77,12641,1709
0,78,18683,-14609
0,79,-9616,26504
0,80,-18338,-5215
0,81,-16688,29426
0,82,14903,18774
0,83,-28566,-1210
0,84,-3032,-31987
0,85,-808,-28855
0,86,9232,21346
0,87,-25811,-6250
0,88,4824,-29285
0,89,30169,-15753
0,90,1027,-14343
0,91,4576,29052
0,92,31982,25796
0,93,21815,-19511
0,94,-122,-26191
0,95,-27516,4786
0,96,24316,16081
0,97,13964,6603
0,98,15211,26819
0,99,21208,28742
0,100,16054,4034
0,101,-5698,25613
0,102,963,-12290
0,103,22710,17763
0,104,23518,-18767
0,105,-12419,-13872
0,106,-24944,-14848
0,107,1373,-16483
0,108,-3346,-31820
0,109,26036,7150
0,110,-453,23713
0,111,293,-15785
0,112,-8840,24042
0,113,18547,-4815
0,114,29355,-22257
0,115,-24248,-29064
0,116,10558,-5059
0,117,-22038,15466
0,118,-12522,-1511
0,119,30581,13153
0,120,-1124,27930
0,121,2670,-3101
0,122,13839,-7092
0,123,12283,-9225
0,124,-30346,27573
0,125,25439,-30945
0,126,-20409,-17368
0,127,18482,-27555
0,128,9432,4311
0,129,-957,-13443
0,130,28117,14377
0,131,-15082,-26293
0,132,20590,-31011
0,133,12782,13227
0,134,-17333,19101
0,135,29707,-7978
0,136,5599,-16560
0,137,5443,-15547
0,138,-22466,-104
0,139,-4900,-12833
0,140,-17366,14328
0,141,6586,7252
0,142,-9136,-28530
0,143,-21701,-23068
0,144,-10011,30817
0,145,-18710,-1867
0,146,19302,15281
0,147,19117,-18960
0,148,-21985,9350
0,149,16407,26974
0,150,-29105,-30506
0,151,-17533,-21145
0,152,9836,-13353
0,153,14302,-12280
0,154,-1308,-11474
0,155,-10643,5116
0,156,-7229,32657
0,157,23514,-9517
0,158,746,-31405
0,159,24555,-26239
0,160,29257,-7103
0,161,28556,6859
0,162,-457,24857
0,163,6587,-23422
0,164,-19191,-9540
0,165,29896,3270
0,166,31903,22122
0,167,21586,5909
0,168,2483,32425
0,169,-27294,16313
0,170,-12198,-30774
0,171,-25814,27751
0,172,-19340,31449
0,173,-11435,-10660
0,174,105,10050
0,175,24793,5281
0,176,-15663,27733
0,177,1975,21538
0,178,22535,25176
0,179,-23819,24482
0,180,-6539,-2530
0,181,4488,13290
0,182,-20576,30150
0,183,-31870,-13974
0,184,6081,-3039
0,185,-31739,-17625
0,186,5635,4045
0,187,-5986,-16684
0,188,-17785,-10342
0,189,-20324,-17780
0,190,27086,-6079
0,191,5912,-22820
0,192,-21549,31990
0,193,14055,-2924
0,194,-17142,2448
0,195,27643,17514
0,196,14501,27962
0,197,11594,15221
0,198,31903,-27530
0,199,2604,20663
0,200,-177,3961
0,201,26091,4099
0,202,30246,26691
0,203,-32624,-17097
0,204,21699,27338
0,205,3752,-16991
0,206,28509,24839
0,207,14315,3198
0,208,30021,10877
0,209,16983,592
0,210,-15474,-2338
0,211,-23872,22910
0,212,26318,17985
0,213,1053,-19368
0,214,22900,-983
0,215,-29145,5501
0,216,-4591,14050
0,217,-19296,5204
0,218,24287,-32235
0,219,12716,12816
0,220,-28677,-25864
0,221,7521,30401
0,222,22235,-21419
0,223,-30555,29048
0,224,7380,2387
0,225,27906,27474
0,226,-22842,9884
0,227,14938,31495
0,228,-22884,-31430
0,229,22279,-865
0,230,-20800,1449
0,231,-7137,-17107
0,232,-9162,14211
0,233,-6689,-26337
0,234,32126,-17925
0,235,-19744,3644
0,236,-8569,-32670
0,237,17655,20126
0,238,-3574,20520
0,239,3687,-17751
0,240,17288,-16477
0,241,32753,9435
0,242,20835,21283
0,243,-4001,19855
0,244,-10357,1326
0,245,-10748,-24101
0,246,24868,-24433
0,247,16486,29953
0,248,-27714,-22858
0,249,1719,-7699
0,250,11342,13051
0,251,-812,-31747
0,252,1570,18149
0,253,23518,-18082
0,254,-10771,-30361
0,255,-23911,-17275
0,256,7189,-16845
0,257,10500,-4193
0,258,31262,4362
0,259,21117,28102
0,260,18262,-7964
0,261,29022,-6945
0,262,-6638,-25813
0,263,-12961,-14319
0,264,12669,20492
0,265,3892,-22936
0,266,1038,-21334
0,267,-18174,1327
0,268,9821,28706
0,269,11624,11000
0,270,-7449,-2595
0,271,-15637,18583
0,272,32686,-9341
0,273,-15440,15980
0,274,-21971,5098
0,275,18559,-12373
0,276,-1296,12025
0,277,29708,-15926
0,278,-8990,-29990
0,279,6752,18266
0,280,-32145,12305
0,281,17575,-20184
0,282,30532,25940
0,283,12176,-30105
0,284,22106,10357
0,285,-26017,27657
0,286,18891,-18622
0,287,-4549,-5453
0,288,-21283,-23386
0,289,26239,18119
0,290,10683,25983
0,291,-18630,-11133
0,292,-15254,-25070
0,293,-22592,-27534
0,294,10032,-2413
0,295,13720,-10213
0,296,-28702,19963
