sample_idx,i,q
0,11290,12875
1,-782,-14016
2,21331,-17902
3,-30708,3362
4,20188,14383
5,4300,-5040
6,-13264,31507
7,-29708,12113
8,32153,-1250
9,-32321,-7071
10,17681,-10278
11,16172,15011
12,-8033,-4026
13,-384,-28857
14,28111,-6682
15,-6852,15597
16,31061,-20809
17,1600,-21270
18,-26633,2067
19,20532,2085
20,-18895,8808
21,3561,22900
22,-13614,14709
23,20718,7276
24,21498,14578
25,-18247,-11603
26,9491,-9058
27,-26531,-17809
28,-5790,-13520
29,-26420,8583
30,-23331,-26732
31,-18862,-4345
32,-1530,-4531
33,-27682,-414
34,-17365,-4861
35,-32339,-12304
36,26125,-4827
37,3423,25781
38,-21788,29108
39,28106,120
40,2758,8123
41,-30032,-25191
42,1630,-11975
43,9184,-5582
44,19703,24006
45,21949,-16355
46,-16212,-1112
47,30688,31821
48,-2213,1276
49,-15461,7398
50,3236,-24863
51,-8040,21387
52,-19417,6754
53,27227,2953
54,28781,-10305
55,22117,-12838
56,-4405,-5439
57,14163,11881
58,23025,24605
59,-27588,683
60,-5901,11096
61,9277,5631
62,31224,8185
63,13453,11448
64,8953,22435
65,-19308,-27316
66,-13562,17280
67,-22282,-16800
68,-12850,-20040
69,14320,4748
70,30014,-26496
71,-31734,25252
72,-12282,8339
73,-29563,14641
74,24560,-31711
75,12698,6188
76,21401,3721
77,27416,-22351
78,-22734,-22737
79,-1965,12814
80,3032,-11878
81,1065,12580
82,14445,3564
83,21137,-7278
84,-17350,27861
85,-25852,22391
86,7463,-9346
87,-16800,-29912
88,21426,-12795
89,-2260,-6673
90,12519,13432
91,-9516,32463
92,-25988,-9443
93,-13181,17206
94,-22072,6106
95,-17510,12563
96,2910,-22864
97,-9509,-6628
98,16033,-16984
99,9709,-10260
100,17697,860
101,19027,10919
102,1742,-25828
103,-15972,-24190
104,32464,-11667
105,-25781,10588
106,-5575,22708
107,-22635,3490
108,463,23229
109,20111,-7548
110,-1654,-12007
111,-4317,-9551
112,-11030,-21556
113,-27739,21568
114,14694,-10573
115,16472,3432
116,7539,5147
117,26357,1411
118,-24043,-32592
119,-19618,32004
120,22821,26564
121,10558,-19161
122,1077,-13600
123,17863,1311
124,18115,26339
125,3595,31695
126,12421,-15890
127,-16441,4217
128,13327,20117
129,-6589,-6923
130,7727,15143
131,6605,-22213
132,7257,6599
133,13309,23977
134,-27730,31688
135,-18884,-27567
136,-13209,-4696
137,30544,-19364
138,10329,-3236
139,-21360,3130
140,11911,-26652
141,22351,-13313
142,26218,28022
143,-19139,4522
144,29330,-2792
145,-17580,16615
146,-22691,15850
